BusinessYear,StateCode,IssuerId,SourceName,ImportDate,StandardComponentId,PlanId,BenefitName,CopayInnTier1,CopayInnTier2,CopayOutofNet,CoinsInnTier1,CoinsInnTier2,CoinsOutofNet,IsEHB,IsCovered,QuantLimitOnSvc,LimitQty,LimitUnit,Exclusions,Explanation,EHBVarReason,IsExclFromInnMOOP,IsExclFromOonMOOP
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-00,Accidental Dental,"","","","","","","",Not Covered,"","","","","","","",""
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-00,Basic Dental Care - Adult,Not Applicable,"",Not Applicable,35.00%,"",35.00%,"",Covered,"","","",See policy for exclusions.,"All dental services are subject to an annual maximum of $1,100. See policy for other limits. A 6-month exclusion period applies except if the member has one year of prior dental coverage with no more than a 90-day break in coverage from the end of the old plicy to the effective date of the new policy.",Not EHB,Yes,Yes
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-00,Basic Dental Care - Child,Not Applicable,"",Not Applicable,60.00%,"",60.00%,Yes,Covered,"","","",See policy for exclusions.,See policy for limits.,Substantially Equal,No,No
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-00,Dental Check-Up for Children,Not Applicable,"",Not Applicable,15.00%,"",15.00%,Yes,Covered,Yes,2.0,Exam(s) per Year,See policy for exclusions.,See policy for other limits.,Substantially Equal,No,No
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-00,Major Dental Care - Adult,Not Applicable,"",Not Applicable,50.00%,"",50.00%,"",Covered,"","","",See policy for exclusions.,"All dental services are subject to an annual maximum of $1,100. See policy for other limits. A 12-month exclusion period applies except if the member has one year of prior dental coverage with no more than a 90-day break in coverage from the end of the old plicy to the effective date of the new policy.",Not EHB,Yes,Yes
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-00,Major Dental Care - Child,Not Applicable,"",Not Applicable,70.00%,"",70.00%,Yes,Covered,"","","",See policy for exclusions.,See policy for limits.,Substantially Equal,No,No
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-00,Orthodontia - Adult,"","","","","","","",Not Covered,"","","","","","","",""
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-00,Orthodontia - Child,Not Applicable,"",Not Applicable,70.00%,"",70.00%,Yes,Covered,"","","",See policy for exclusions.,For medically necessary orthodontic treatment only.,Substantially Equal,No,No
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-00,Routine Dental Services (Adult),Not Applicable,"",Not Applicable,20.00%,"",20.00%,"",Covered,Yes,2.0,Exam(s) per Year,See policy for exclusions.,"All dental services are subject to an annual maximum of $1,100. See policy for other limits.",Not EHB,Yes,Yes
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-01,Accidental Dental,"","","","","","","",Not Covered,"","","","","","","",""
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-01,Basic Dental Care - Adult,Not Applicable,"",Not Applicable,35.00%,"",35.00%,"",Covered,"","","",See policy for exclusions.,"All dental services are subject to an annual maximum of $1,100. See policy for other limits. A 6-month exclusion period applies except if the member has one year of prior dental coverage with no more than a 90-day break in coverage from the end of the old plicy to the effective date of the new policy.",Not EHB,Yes,Yes
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-01,Basic Dental Care - Child,Not Applicable,"",Not Applicable,60.00%,"",60.00%,Yes,Covered,"","","",See policy for exclusions.,See policy for limits.,Substantially Equal,No,No
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-01,Dental Check-Up for Children,Not Applicable,"",Not Applicable,15.00%,"",15.00%,Yes,Covered,Yes,2.0,Exam(s) per Year,See policy for exclusions.,See policy for other limits.,Substantially Equal,No,No
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-01,Major Dental Care - Adult,Not Applicable,"",Not Applicable,50.00%,"",50.00%,"",Covered,"","","",See policy for exclusions.,"All dental services are subject to an annual maximum of $1,100. See policy for other limits. A 12-month exclusion period applies except if the member has one year of prior dental coverage with no more than a 90-day break in coverage from the end of the old plicy to the effective date of the new policy.",Not EHB,Yes,Yes
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-01,Major Dental Care - Child,Not Applicable,"",Not Applicable,70.00%,"",70.00%,Yes,Covered,"","","",See policy for exclusions.,See policy for limits.,Substantially Equal,No,No
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-01,Orthodontia - Adult,"","","","","","","",Not Covered,"","","","","","","",""
2026,AK,21989,HIOS,2025-10-15,21989AK0030001,21989AK0030001-01,Orthodontia - Child,Not Applicable,"",Not Applicable,70.00%,"",70.00%,Yes,Covered,"","","",See policy for exclusions.,For medically necessary orthodontic treatment only.,Substantially Equal,No,No
