BusinessYear,StateCode,IssuerId,IssuerMarketPlaceMarketingName,SourceName,ImportDate,MarketCoverage,DentalOnlyPlan,StandardComponentId,PlanMarketingName,HIOSProductId,NetworkId,ServiceAreaId,FormularyId,IsNewPlan,PlanType,MetalLevel,DesignType,UniquePlanDesign,QHPNonQHPTypeId,IsNoticeRequiredForPregnancy,IsReferralRequiredForSpecialist,SpecialistRequiringReferral,PlanLevelExclusions,IndianPlanVariationEstimatedAdvancedPaymentAmountPerEnrollee,CompositeRatingOffered,ChildOnlyOffering,ChildOnlyPlanId,WellnessProgramOffered,DiseaseManagementProgramsOffered,EHBPercentTotalPremium,EHBPediatricDentalApportionmentQuantity,IsGuaranteedRate,PlanEffectiveDate,PlanExpirationDate,OutOfCountryCoverage,OutOfCountryCoverageDescription,OutOfServiceAreaCoverage,OutOfServiceAreaCoverageDescription,NationalNetwork,URLForEnrollmentPayment,FormularyURL,PlanId,PlanVariantMarketingName,CSRVariationType,IssuerActuarialValue,AVCalculatorOutputNumber,MedicalDrugDeductiblesIntegrated,MedicalDrugMaximumOutofPocketIntegrated,MultipleInNetworkTiers,FirstTierUtilization,SecondTierUtilization,SBCHavingaBabyDeductible,SBCHavingaBabyCopayment,SBCHavingaBabyCoinsurance,SBCHavingaBabyLimit,SBCHavingDiabetesDeductible,SBCHavingDiabetesCopayment,SBCHavingDiabetesCoinsurance,SBCHavingDiabetesLimit,SBCHavingSimplefractureDeductible,SBCHavingSimplefractureCopayment,SBCHavingSimplefractureCoinsurance,SBCHavingSimplefractureLimit,SpecialtyDrugMaximumCoinsurance,InpatientCopaymentMaximumDays,BeginPrimaryCareCostSharingAfterNumberOfVisits,BeginPrimaryCareDeductibleCoinsuranceAfterNumberOfCopays,MEHBInnTier1IndividualMOOP,MEHBInnTier1FamilyPerPersonMOOP,MEHBInnTier1FamilyPerGroupMOOP,MEHBInnTier2IndividualMOOP,MEHBInnTier2FamilyPerPersonMOOP,MEHBInnTier2FamilyPerGroupMOOP,MEHBOutOfNetIndividualMOOP,MEHBOutOfNetFamilyPerPersonMOOP,MEHBOutOfNetFamilyPerGroupMOOP,MEHBCombInnOonIndividualMOOP,MEHBCombInnOonFamilyPerPersonMOOP,MEHBCombInnOonFamilyPerGroupMOOP,DEHBInnTier1IndividualMOOP,DEHBInnTier1FamilyPerPersonMOOP,DEHBInnTier1FamilyPerGroupMOOP,DEHBInnTier2IndividualMOOP,DEHBInnTier2FamilyPerPersonMOOP,DEHBInnTier2FamilyPerGroupMOOP,DEHBOutOfNetIndividualMOOP,DEHBOutOfNetFamilyPerPersonMOOP,DEHBOutOfNetFamilyPerGroupMOOP,DEHBCombInnOonIndividualMOOP,DEHBCombInnOonFamilyPerPersonMOOP,DEHBCombInnOonFamilyPerGroupMOOP,TEHBInnTier1IndividualMOOP,TEHBInnTier1FamilyPerPersonMOOP,TEHBInnTier1FamilyPerGroupMOOP,TEHBInnTier2IndividualMOOP,TEHBInnTier2FamilyPerPersonMOOP,TEHBInnTier2FamilyPerGroupMOOP,TEHBOutOfNetIndividualMOOP,TEHBOutOfNetFamilyPerPersonMOOP,TEHBOutOfNetFamilyPerGroupMOOP,TEHBCombInnOonIndividualMOOP,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonFamilyPerGroupMOOP,MEHBDedInnTier1Individual,MEHBDedInnTier1FamilyPerPerson,MEHBDedInnTier1FamilyPerGroup,MEHBDedInnTier1Coinsurance,MEHBDedInnTier2Individual,MEHBDedInnTier2FamilyPerPerson,MEHBDedInnTier2FamilyPerGroup,MEHBDedInnTier2Coinsurance,MEHBDedOutOfNetIndividual,MEHBDedOutOfNetFamilyPerPerson,MEHBDedOutOfNetFamilyPerGroup,MEHBDedCombInnOonIndividual,MEHBDedCombInnOonFamilyPerPerson,MEHBDedCombInnOonFamilyPerGroup,DEHBDedInnTier1Individual,DEHBDedInnTier1FamilyPerPerson,DEHBDedInnTier1FamilyPerGroup,DEHBDedInnTier1Coinsurance,DEHBDedInnTier2Individual,DEHBDedInnTier2FamilyPerPerson,DEHBDedInnTier2FamilyPerGroup,DEHBDedInnTier2Coinsurance,DEHBDedOutOfNetIndividual,DEHBDedOutOfNetFamilyPerPerson,DEHBDedOutOfNetFamilyPerGroup,DEHBDedCombInnOonIndividual,DEHBDedCombInnOonFamilyPerPerson,DEHBDedCombInnOonFamilyPerGroup,TEHBDedInnTier1Individual,TEHBDedInnTier1FamilyPerPerson,TEHBDedInnTier1FamilyPerGroup,TEHBDedInnTier1Coinsurance,TEHBDedInnTier2Individual,TEHBDedInnTier2FamilyPerPerson,TEHBDedInnTier2FamilyPerGroup,TEHBDedInnTier2Coinsurance,TEHBDedOutOfNetIndividual,TEHBDedOutOfNetFamilyPerPerson,TEHBDedOutOfNetFamilyPerGroup,TEHBDedCombInnOonIndividual,TEHBDedCombInnOonFamilyPerPerson,TEHBDedCombInnOonFamilyPerGroup,IsHSAEligible,HSAOrHRAEmployerContribution,HSAOrHRAEmployerContributionAmount,URLForSummaryofBenefitsCoverage,PlanBrochure
2026,AK,21989,Delta Dental of Alaska,HIOS,10/15/2025,Individual,Yes,21989AK0030001,Delta Dental Premier Plan,21989AK003,AKN003,AKS003,"",Existing,Indemnity,Low,"","",Both,"","","","","",No,Allows Adult and Child-Only,"","","","",1,Guaranteed Rate,1/1/2026,12/31/2026,Yes,Non-participating provider benefits,Yes,Non-participating provider benefits,Yes,https://www.deltadentalak.com/member/online-tools/member-dashboard,"",21989AK0030001-00,Delta Dental Premier Plan,Standard Low Off Exchange Plan,"","","","",No,100%,"","","","","","","","","","","","","","",0,0,0,Not Applicable,per person not applicable,per group not applicable,"","","",Not Applicable,per person not applicable,per group not applicable,$450 ,$450 per person,$900 per group,"","","","","","","","","","","","","","","","","","","","","","","","",Not Applicable,per person not applicable,per group not applicable,"","","","","",Not Applicable,per person not applicable,per group not applicable,$0 ,$0 per person,$0 per group,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",https://www.deltadentalak.com/-/media/deltadental/downloads/alaska/shared/brochures/2026/Moda-IND-DEN-Brochure-2026-AK.pdf
2026,AK,21989,Delta Dental of Alaska,HIOS,10/15/2025,Individual,Yes,21989AK0030001,Delta Dental Premier Plan,21989AK003,AKN003,AKS003,"",Existing,Indemnity,Low,"","",Both,"","","","","",No,Allows Adult and Child-Only,"","","","",1,Guaranteed Rate,1/1/2026,12/31/2026,Yes,Non-participating provider benefits,Yes,Non-participating provider benefits,Yes,https://www.deltadentalak.com/member/online-tools/member-dashboard,"",21989AK0030001-01,Delta Dental Premier Plan,Standard Low On Exchange Plan,"","","","",No,100%,"","","","","","","","","","","","","","",0,0,0,Not Applicable,per person not applicable,per group not applicable,"","","",Not Applicable,per person not applicable,per group not applicable,$450 ,$450 per person,$900 per group,"","","","","","","","","","","","","","","","","","","","","","","","",Not Applicable,per person not applicable,per group not applicable,"","","","","",Not Applicable,per person not applicable,per group not applicable,$0 ,$0 per person,$0 per group,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",https://www.deltadentalak.com/-/media/deltadental/downloads/alaska/shared/brochures/2026/Moda-IND-DEN-Brochure-2026-AK.pdf
2026,AK,21989,Delta Dental of Alaska,HIOS,10/15/2025,Individual,Yes,21989AK0050001,Delta Dental PPO 1000 Plan,21989AK005,AKN004,AKS004,"",Existing,PPO,High,"","",Both,"","","","","",No,Allows Adult and Child-Only,"","","","",1,Guaranteed Rate,1/1/2026,12/31/2026,Yes,Out-of-network benefits,Yes,Out-of-network benefits,Yes,https://www.deltadentalak.com/member/online-tools/member-dashboard,"",21989AK0050001-00,Delta Dental PPO 1000 Plan,Standard High Off Exchange Plan,"","","","",No,100%,"","","","","","","","","","","","","","",0,0,0,$450 ,$450 per person,$900 per group,"","","",Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,"","","","","","","","","","","","","","","","","","","","","","","","",Not Applicable,per person not applicable,per group not applicable,"","","","","",Not Applicable,per person not applicable,per group not applicable,$50 ,$50 per person,$150 per group,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",https://www.deltadentalak.com/-/media/deltadental/downloads/alaska/shared/brochures/2026/Moda-IND-DEN-Brochure-2026-AK.pdf
2026,AK,21989,Delta Dental of Alaska,HIOS,10/15/2025,Individual,Yes,21989AK0050001,Delta Dental PPO 1000 Plan,21989AK005,AKN004,AKS004,"",Existing,PPO,High,"","",Both,"","","","","",No,Allows Adult and Child-Only,"","","","",1,Guaranteed Rate,1/1/2026,12/31/2026,Yes,Out-of-network benefits,Yes,Out-of-network benefits,Yes,https://www.deltadentalak.com/member/online-tools/member-dashboard,"",21989AK0050001-01,Delta Dental PPO 1000 Plan,Standard High On Exchange Plan,"","","","",No,100%,"","","","","","","","","","","","","","",0,0,0,$450 ,$450 per person,$900 per group,"","","",Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,"","","","","","","","","","","","","","","","","","","","","","","","",Not Applicable,per person not applicable,per group not applicable,"","","","","",Not Applicable,per person not applicable,per group not applicable,$50 ,$50 per person,$150 per group,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",https://www.deltadentalak.com/-/media/deltadental/downloads/alaska/shared/brochures/2026/Moda-IND-DEN-Brochure-2026-AK.pdf
2026,AK,21989,Delta Dental of Alaska,HIOS,10/15/2025,Individual,Yes,21989AK0050002,Delta Dental PPO 1500 Plan,21989AK005,AKN004,AKS004,"",Existing,PPO,High,"","",Both,"","","","","",No,Allows Adult and Child-Only,"","","","",1,Guaranteed Rate,1/1/2026,12/31/2026,Yes,Out-of-network benefits,Yes,Out-of-network benefits,Yes,https://www.deltadentalak.com/member/online-tools/member-dashboard,"",21989AK0050002-00,Delta Dental PPO 1500 Plan,Standard High Off Exchange Plan,"","","","",No,100%,"","","","","","","","","","","","","","",0,0,0,$450 ,$450 per person,$900 per group,"","","",Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,"","","","","","","","","","","","","","","","","","","","","","","","",Not Applicable,per person not applicable,per group not applicable,"","","","","",Not Applicable,per person not applicable,per group not applicable,$50 ,$50 per person,$150 per group,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",https://www.deltadentalak.com/-/media/deltadental/downloads/alaska/shared/brochures/2026/Moda-IND-DEN-Brochure-2026-AK.pdf
2026,AK,21989,Delta Dental of Alaska,HIOS,10/15/2025,Individual,Yes,21989AK0050002,Delta Dental PPO 1500 Plan,21989AK005,AKN004,AKS004,"",Existing,PPO,High,"","",Both,"","","","","",No,Allows Adult and Child-Only,"","","","",1,Guaranteed Rate,1/1/2026,12/31/2026,Yes,Out-of-network benefits,Yes,Out-of-network benefits,Yes,https://www.deltadentalak.com/member/online-tools/member-dashboard,"",21989AK0050002-01,Delta Dental PPO 1500 Plan,Standard High On Exchange Plan,"","","","",No,100%,"","","","","","","","","","","","","","",0,0,0,$450 ,$450 per person,$900 per group,"","","",Not Applicable,per person not applicable,per group not applicable,Not Applicable,per person not applicable,per group not applicable,"","","","","","","","","","","","","","","","","","","","","","","","",Not Applicable,per person not applicable,per group not applicable,"","","","","",Not Applicable,per person not applicable,per group not applicable,$50 ,$50 per person,$150 per group,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",https://www.deltadentalak.com/-/media/deltadental/downloads/alaska/shared/brochures/2026/Moda-IND-DEN-Brochure-2026-AK.pdf
2026,AK,21989,Delta Dental of Alaska,HIOS,10/15/2025,Individual,Yes,21989AK0070001,Delta Dental Premier Healthy Smiles,21989AK007,AKN003,AKS003,"",Existing,Indemnity,Low,"","",Off the Exchange,"","","","","",No,Allows Adult and Child-Only,"","","","",1,Guaranteed Rate,1/1/2026,12/31/2026,Yes,Non-participating provider benefits,Yes,Non-participating provider benefits,Yes,https://www.deltadentalak.com/member/online-tools/member-dashboard,"",21989AK0070001-00,Delta Dental Premier Healthy Smiles,Standard Low Off Exchange Plan,"","","","",No,100%,"","","","","","","","","","","","","","",0,0,0,Not Applicable,per person not applicable,per group not applicable,"","","",Not Applicable,per person not applicable,per group not applicable,$450 ,$450 per person,$900 per group,"","","","","","","","","","","","","","","","","","","","","","","","",Not Applicable,per person not applicable,per group not applicable,"","","","","",Not Applicable,per person not applicable,per group not applicable,$0 ,$0 per person,$0 per group,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",https://www.deltadentalak.com/-/media/deltadental/downloads/alaska/shared/brochures/2026/Moda-IND-DEN-Brochure-2026-AK.pdf
2026,AK,21989,Delta Dental of Alaska,HIOS,10/15/2025,SHOP (Small Group),Yes,21989AK0080001,"Delta Dental Premier 1000, 100/80/50, 50",21989AK008,AKN001,AKS001,"",Existing,Indemnity,High,"","",Off the Exchange,"","","","","",No,Allows Adult and Child-Only,"","","","","",Guaranteed Rate,1/1/2026,12/31/2026,Yes,Providers treated as out-of-network.,Yes,National Network,Yes,"","",21989AK0080001-00,"Delta Dental Premier 1000, 100/80/50, 50",Standard High Off Exchange Plan,"","","","",No,100%,"","","","","","","","","","","","","","",0,0,0,Not Applicable,per person not applicable,per group not applicable,"","","",Not Applicable,per person not applicable,per group not applicable,$450 ,$450 per person,$900 per group,"","","","","","","","","","","","","","","","","","","","","","","","",Not Applicable,per person not applicable,per group not applicable,"","","","","",Not Applicable,per person not applicable,per group not applicable,$50 ,$50 per person,$150 per group,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2026,AK,21989,Delta Dental of Alaska,HIOS,10/15/2025,SHOP (Small Group),Yes,21989AK0080002,"Delta Dental Premier 1500, 100/80/50, 50",21989AK008,AKN001,AKS001,"",Existing,Indemnity,High,"","",Off the Exchange,"","","","","",No,Allows Adult and Child-Only,"","","","","",Guaranteed Rate,1/1/2026,12/31/2026,Yes,Providers treated as out-of-network.,Yes,National Network,Yes,"","",21989AK0080002-00,"Delta Dental Premier 1500, 100/80/50, 50",Standard High Off Exchange Plan,"","","","",No,100%,"","","","","","","","","","","","","","",0,0,0,Not Applicable,per person not applicable,per group not applicable,"","","",Not Applicable,per person not applicable,per group not applicable,$450 ,$450 per person,$900 per group,"","","","","","","","","","","","","","","","","","","","","","","","",Not Applicable,per person not applicable,per group not applicable,"","","","","",Not Applicable,per person not applicable,per group not applicable,$50 ,$50 per person,$150 per group,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2026,AK,21989,Delta Dental of Alaska,HIOS,10/15/2025,SHOP (Small Group),Yes,21989AK0080003,"Delta Dental Premier, 2000, 100/80/50, 50",21989AK008,AKN001,AKS001,"",Existing,Indemnity,High,"","",Off the Exchange,"","","","","",No,Allows Adult and Child-Only,"","","","","",Guaranteed Rate,1/1/2026,12/31/2026,Yes,Providers treated as out-of-network.,Yes,National Network,Yes,"","",21989AK0080003-00,"Delta Dental Premier, 2000, 100/80/50, 50",Standard High Off Exchange Plan,"","","","",No,100%,"","","","","","","","","","","","","","",0,0,0,Not Applicable,per person not applicable,per group not applicable,"","","",Not Applicable,per person not applicable,per group not applicable,$450 ,$450 per person,$900 per group,"","","","","","","","","","","","","","","","","","","","","","","","",Not Applicable,per person not applicable,per group not applicable,"","","","","",Not Applicable,per person not applicable,per group not applicable,$50 ,$50 per person,$150 per group,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
