CONTRACT_ID,PLAN_ID,SEGMENT_ID,CONTRACT_NAME,PLAN_NAME,FORMULARY_ID,PREMIUM,DEDUCTIBLE,MA_REGION_CODE,PDP_REGION_CODE,STATE,COUNTY_CODE,SNP,PLAN_SUPPRESSED_YN
H1671,001,000,IMPERIAL COUNTY LOCAL HEALTH AUTHORITY,Community Advantage Plus (HMO D-SNP),00026354,0.00,615, , ,CA,05120,2,N
H4057,001,000,KERN HEALTH SYSTEMS,Kern Family Health Care Medicare (HMO D-SNP),00026356,0.00,615, , ,CA,05140,2,N
H5050,004,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Optimal (HMO),00026429,60.20,0, , ,WA,50130,0,N
H5050,004,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Optimal (HMO),00026429,60.20,0, , ,WA,50160,0,N
H5050,004,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Optimal (HMO),00026429,60.20,0, , ,WA,50200,0,N
H5050,004,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Optimal (HMO),00026429,60.20,0, , ,WA,50220,0,N
H5050,004,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Optimal (HMO),00026429,60.20,0, , ,WA,50260,0,N
H5050,004,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Optimal (HMO),00026429,60.20,0, , ,WA,50300,0,N
H5050,004,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Optimal (HMO),00026429,60.20,0, , ,WA,50330,0,N
H5050,009,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Essential (HMO),00026429,0.00,0, , ,WA,50130,0,N
H5050,009,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Essential (HMO),00026429,0.00,0, , ,WA,50170,0,N
